domain,count,org,party
avs-alexa-4-na.amazon.com,100,"Amazon Technologies, Inc.",1
device-metrics-us.amazon.com,39,amazon.com,1
api.amazonalexa.com,25,amazonalexa.com,1
device-artifacts-v2.s3.amazonaws.com,8,amazonaws.com,1
arcus-uswest.amazon.com,4,amazon.com,1
dxz5jxhrrzigf.cloudfront.net,3,"Amazon Technologies, Inc.",1
dp-rsm-prod.amazon.com,3,amazon.com,1
wl.amazon-dss.com,3,amazon-dss.com,1
kindle-time.amazon.com,2,amazon.com,1
msh.amazon.com,2,amazon.com,1
dcape-na.amazon.com,2,amazon.com,1
api.amazon.com,1,amazon.com,1
dss-na.amazon.com,1,amazon.com,1
softwareupdates.amazon.com,1,amazon.com,1
updates.amazon.com,1,amazon.com,1
device-messaging-na.amazon.com,1,amazon.com,1
