domain,count,org,party
logsink.devices.nest.com,14,nest.com,1
squeakydoor.nest.com,5,nest.com,1
weather.nest.com,3,nest.com,1
czfe03-front01-iad01.transport.home.nest.com,3,nest.com,1
czfe51-front01-iad01.transport.home.nest.com,3,nest.com,1
clients3.google.com,1,google.com,1
czfe15-front01-iad01.transport.home.nest.com,1,nest.com,1
czfe45-front01-iad01.transport.home.nest.com,1,nest.com,1
czfe37-front01-iad01.transport.home.nest.com,1,nest.com,1
czfe89-front01-iad01.transport.home.nest.com,1,nest.com,1
