Domain,Flow
tinytts.amazon.com,140
prod.amcs-tachyon.com,136
device-metrics-us.amazon.com,88
192.168.10.225,54
unagi-na.amazon.com,39
b82ae34a18a42367f46d65222cb0e97d6914c2a7c50abbfd61deaa1ed388b2c.us-east-1.prod.service.minerva.devices.a2z.com,12
192.168.10.243,11
avs-alexa-5-na.amazon.com,11
det-ta-g7g.amazon.com,9
192.168.10.188,9
m.media-amazon.com,7
d17klky2x7cw7m.cloudfront.net,4
device-messaging-na.amazon.com,4
abk6gs5nzngf.na.api.amazonvideo.com,4
s3.amazonaws.com,3
dp-rsm-prod.amazon.com,3
arl.assets.apl-alexa.com,3
mm-smarthome-resources.s3-us-west-2.amazonaws.com,3
todo-ta-g7g.amazon.com,2
wl.amazon-dss.com,2
d24fmma24bxqwu.cloudfront.net,2
da71lv4s2a6ll.cloudfront.net,2
dss-na.amazon.com,2
dcape-na.amazon.com,2
smarthome-resources.s3.amazonaws.com,1
msh.amazon.com,1
softwareupdates.amazon.com,1
mmhome-static-content-prod.s3.amazonaws.com,1
images-na.ssl-images-amazon.com,1
api.amazon.com,1
