protocol,domain,period,org,party
DNS,dns.google,64,dns.google,1
UDP,fcm.googleapis.com,2170,googleapis.com,1
UDP,play.googleapis.com,600,googleapis.com,1
UDP,clients4.google.com,300,google.com,1
UDP,www.gstatic.com,79455,gstatic.com,1
UDP,clients3.google.com,2163,google.com,1
TCP,clients3.google.com,88618,google.com,1
TCP,connectivitycheck.gstatic.com,60,gstatic.com,1
TCP,lycraservice-pa.googleapis.com,79458,googleapis.com,1
TCP,www.youtube.com,90329,youtube.com,3
TCP,fcm.googleapis.com,90637,googleapis.com,1
TCP,mtalk.google.com,45,google.com,1
TCP,www.googleapis.com,90286,googleapis.com,1
TCP,device-provisioning.googleapis.com,14,googleapis.com,1
TCP,www.gstatic.com,45,gstatic.com,1
TCP,ajax.googleapis.com,45,googleapis.com,1
TCP,www.google.com,88503,google.com,1
TCP,home-devices.googleapis.com,79503,googleapis.com,1
TCP,play.googleapis.com,43187,googleapis.com,1
TCP,safesearch.googleapis.com,90329,googleapis.com,1
UDP,www.googleapis.com,28800,googleapis.com,1
