protocol,domain,period,org,party
DNS,dns.google,63,dns.google,1
DNS,neu.edu,8210,neu.edu,2
UDP,fcm.googleapis.com,2110,googleapis.com,1
UDP,www.googleapis.com,14400,googleapis.com,1
UDP,tools.google.com,1838,google.com,1
UDP,play.googleapis.com,600,googleapis.com,1
UDP,clients4.google.com,300,google.com,1
UDP,clients3.google.com,2116,google.com,1
TCP,tools.google.com,16200,google.com,1
TCP,android.clients.google.com,46,google.com,1
TCP,clients3.google.com,82985,google.com,1
TCP,connectivitycheck.gstatic.com,60,gstatic.com,1
TCP,clientservices.googleapis.com,46,googleapis.com,1
TCP,fcm.googleapis.com,46,googleapis.com,1
TCP,mtalk.google.com,46,google.com,1
TCP,www.googleapis.com,46,googleapis.com,1
TCP,device-provisioning.googleapis.com,46,googleapis.com,1
TCP,clients4.google.com,46,google.com,1
TCP,www.gstatic.com,25812,gstatic.com,1
TCP,www.google.com,46,google.com,1
TCP,home-devices.googleapis.com,83009,googleapis.com,1
TCP,play.googleapis.com,46,googleapis.com,1
TCP,geller-pa.googleapis.com,21601,googleapis.com,1
