meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
344.0,342,346,2.965204437011204,0.0,-2.0,0.0953865,0.0181971687645,0.0953865,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,342.0,346.0,aqara-hub,android_wan_on,2021-08-05_10:14:54.39s,1628172901.710762,DHCP,22:ef:03:1a:97:b9
209.33333333333334,66,1298,48.92587321068486,2.7637917098056644,6.0615525046037675,0.08182266666666665,0.02124323899587878,0.0045935,2.5370570515981097,1.89542553398465,12,6,6,12,0,0,0,281.8333333333333,136.83333333333334,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_10:14:54.39s,1628172905.3148541,TCP,aiot-coap.aqara.cn
205.1,66,1002,48.92587321068486,2.2908998132127647,3.743569362385121,0.057609600000000004,0.014122907030933336,0.0015840000000000001,0.35280865115906845,1.5214828443104986,10,6,4,10,0,0,0,315.75,131.33333333333334,0.0,0.0,aqara-hub,android_wan_on,2021-08-10_04:26:38.39s,1628584010.259509,TCP,aiot-coap.aqara.cn
189.0,66,551,48.92587321068486,1.3698540077886292,0.058848155947131886,0.048814,0.010748518322500001,0.004354,0.24716368961360446,1.4978751708564721,5,2,3,5,0,0,0,227.66666666666666,131.0,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_10:14:54.39s,1628172920.763567,TCP,aiot-coap.aqara.cn
219.75,66,551,71.9062075975217,1.0470312467381468,-0.7556392512681716,0.06620474999999999,0.017205614544916665,0.0009314999999999999,-0.6667758743406336,1.1545595177374248,4,2,2,4,0,0,0,308.5,131.0,0.0,0.0,aqara-hub,android_wan_on,2021-08-10_04:26:38.39s,1628584035.176826,TCP,aiot-coap.aqara.cn
206.0,66,410,93.40393976585293,0.3747242302087063,-1.7294502040863236,0.0618476,0.014175257273300003,0.007670000000000001,0.20732428170699313,1.4697833427542655,5,2,3,5,0,0,0,201.66666666666666,212.5,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_10:26:40.39s,1628173611.256654,TCP,aiot-coap.aqara.cn
219.75,66,551,71.9062075975217,1.0470312467381468,-0.7556392512681716,0.05983375,0.013478353038916669,0.0026985,-0.6679163138217836,1.1531092154952765,4,2,2,4,0,0,0,308.5,131.0,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_08:57:49.38s,1628168299.8934748,TCP,aiot-coap.aqara.cn
220.55555555555554,66,1002,48.92587321068486,2.118929421888231,2.94459771319222,0.082358,0.027085142802,0.0021609999999999997,1.5389637486668617,1.7532197242284413,9,5,4,9,0,0,0,315.75,144.4,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_09:33:24.39s,1628170415.3533149,TCP,aiot-coap.aqara.cn
220.55555555555554,66,1002,48.92587321068486,2.1189294218882315,2.94459771319222,0.05873277777777778,0.012299009582944446,0.002292,-0.099439294861416,1.3600496400844218,9,6,3,9,0,0,0,399.0,131.33333333333334,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_08:57:49.38s,1628168279.8841982,TCP,aiot-coap.aqara.cn
220.30769230769232,66,1478,13.343419966550417,2.9460922365076656,7.120141381594225,0.04871361538461539,0.005022810637256411,0.013609,0.6798280174124378,1.4544307135582517,13,7,6,13,0,0,0,313.3333333333333,140.57142857142858,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_08:40:08.39s,1628167219.5836189,TCP,aiot-coap.aqara.cn
189.0,66,551,48.92587321068486,1.3698540077886292,0.058848155947131886,0.048026799999999994,0.011210399163200001,0.000799,0.24977670511992223,1.499833041518573,5,2,3,5,0,0,0,227.66666666666666,131.0,0.0,0.0,aqara-hub,android_wan_on,2021-08-10_05:55:50.39s,1628589377.007656,TCP,aiot-coap.aqara.cn
192.45454545454547,66,1002,48.92587321068486,2.4519825215244544,4.547688951409433,0.07469518181818181,0.012935467316163634,0.012112999999999999,-0.8765945767444077,1.020544146947916,11,6,5,11,0,0,0,265.8,131.33333333333334,0.0,0.0,aqara-hub,android_wan_on,2021-08-10_05:55:50.39s,1628589361.359255,TCP,aiot-coap.aqara.cn
192.45454545454547,66,1002,48.92587321068486,2.4519825215244544,4.547688951409433,0.07901990909090909,0.016206005119890905,0.0016640000000000001,-0.8913814187854623,1.0235131207698247,11,6,5,11,0,0,0,265.8,131.33333333333334,0.0,0.0,aqara-hub,android_wan_on,2021-08-10_04:38:25.39s,1628584716.259845,TCP,aiot-coap.aqara.cn
165.45454545454547,66,530,72.6475087067745,1.5884520851294779,0.6435056896734155,0.062113454545454555,0.010628564061272727,0.003288,-0.8894044574524798,1.03983276952396,11,5,6,11,0,0,0,215.66666666666666,105.2,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_08:40:08.39s,1628167233.777244,TCP,aiot-coap.aqara.cn
205.1,66,1002,48.92587321068486,2.290899813212765,3.743569362385122,0.07570819999999999,0.02365371095284444,0.0055575,2.0997408444112144,1.894892002715531,10,5,5,10,0,0,0,265.8,144.4,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_08:46:02.38s,1628167573.451029,TCP,aiot-coap.aqara.cn
189.0,66,551,48.92587321068486,1.3698540077886292,0.058848155947131886,0.0478494,0.010910737355299998,8.9e-05,0.24836693550907452,1.4987937471529933,5,2,3,5,0,0,0,227.66666666666666,131.0,0.0,0.0,aqara-hub,android_wan_on,2021-08-05_11:02:15.39s,1628175741.288096,TCP,aiot-coap.aqara.cn
