meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
236.5,90,383,217.20122501107068,0.0,-2.0,0.02291,0.0010497362,0.02291,-2.0,0.0,2,0,2,2,0,0,0,236.5,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:18:04.42s,1628158699.4787369,MDNS,multicast
647.6666666666666,54,1835,0.0,0.7071067811865478,-1.5000000000000002,0.0004703333333333333,6.289903333333333e-07,2.5e-05,-1.5,0.7063164145231773,3,1,2,3,0,0,0,54.0,1835.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:39:28.42s,1628163595.257071,TCP,avs-alexa-3-na.amazon.com
131.0,54,347,68.19970205125769,1.3703252903751404,0.07861634997654487,0.197206,0.1651910956795,0.01254,0.23801687969262186,1.49130748516151,5,3,2,5,0,0,0,77.0,167.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:18:04.42s,1628158708.018062,TCP,avs-alexa-3-na.amazon.com
77.0,54,100,34.099851025628844,0.0,-2.0,0.0031339999999999996,3.188329666666666e-05,0.00047250000000000005,-0.674906181725131,1.1443458179817485,4,2,2,4,0,0,0,77.0,77.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:39:28.42s,1628163569.233951,TCP,avs-alexa-3-na.amazon.com
647.6666666666666,54,1835,0.0,0.7071067811865478,-1.5000000000000002,0.0004873333333333334,3.8423633333333345e-07,0.000277,-1.5,0.5515964223607646,3,1,2,3,0,0,0,54.0,1835.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:18:04.42s,1628158710.977331,TCP,avs-alexa-3-na.amazon.com
77.0,54,100,34.099851025628844,0.0,-2.0,0.0033002500000000002,3.322733691666668e-05,0.000646,-0.6911912500819342,1.125283208266941,4,2,2,4,0,0,0,77.0,77.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150588.7816339,TCP,avs-alexa-3-na.amazon.com
77.0,54,100,34.099851025628844,0.0,-2.0,0.0031940000000000002,3.208958733333334e-05,0.0005585,-0.6878991200915054,1.129142021920662,4,2,2,4,0,0,0,77.0,77.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:39:28.42s,1628163599.2339501,TCP,avs-alexa-3-na.amazon.com
154.2,54,547,8.895613311033612,1.4551873833426532,0.757127136751603,0.014697799999999997,0.0011630448066222224,0.001467,4.808766683794399,2.5725452857297992,10,0,0,0,10,5,5,0.0,0.0,156.6,151.8,echoshow5,android_wan_disturb_off,2021-08-05_07:39:28.42s,1628163576.0020442,TCP,t-wemo-plug
388.75,363,411,28.91074326085924,-0.06175237052480061,-1.909726186900584,0.026831333333333336,0.003365887776787878,0.0012920000000000002,1.1851236378721701,1.7802373205612423,12,0,12,12,0,0,0,388.75,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:18:04.42s,1628158700.828838,SSDP,multicast
90.0,90,90,0.0,0.0,-3.0,0.001049,2.2008020000000002e-06,0.001049,-2.0,0.0,2,0,2,2,0,0,0,90.0,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:09:01.42s,1628158168.181784,MDNS,multicast
66.0,66,66,0.0,0.0,-3.0,0.011337333333333331,0.0003569009453333332,0.000866,-1.5,0.7054355731032665,3,1,2,3,0,0,0,66.0,66.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150587.222255,TCP,d3p8zr0ffa9t17.cloudfront.net
388.75,363,411,28.91074326085924,-0.06175237052480061,-1.909726186900584,0.026358000000000003,0.0037019281732727292,0.000148,1.2102918838703136,1.7906032130863392,12,0,12,12,0,0,0,388.75,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150577.647326,SSDP,multicast
200.5,54,347,217.20122501107068,0.0,-2.0,0.0231715,0.0010738368245,0.0231715,-2.0,0.0,2,1,1,2,0,0,0,54.0,347.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:39:28.42s,1628163593.1764739,TCP,avs-alexa-3-na.amazon.com
388.75,363,411,28.91074326085924,-0.06175237052480061,-1.909726186900584,0.026569500000000006,0.003424113364272727,0.000459,1.1899691620996284,1.783394297856113,12,0,12,12,0,0,0,388.75,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_05:32:53.41s,1628155993.97703,SSDP,multicast
647.6666666666666,54,1835,0.0,0.7071067811865478,-1.5000000000000002,0.000408,2.58073e-07,0.00024700000000000004,-1.4999999999999998,0.5237467469962875,3,1,2,3,0,0,0,54.0,1835.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150575.435695,TCP,avs-alexa-3-na.amazon.com
200.5,54,347,217.20122501107068,0.0,-2.0,0.0247005,0.0012202294005000001,0.0247005,-2.0,0.0,2,1,1,2,0,0,0,54.0,347.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150573.3417478,TCP,avs-alexa-3-na.amazon.com
77.0,54,100,34.099851025628844,0.0,-2.0,0.00333725,3.272214291666667e-05,0.000735,-0.6919073751469886,1.124207062318269,4,2,2,4,0,0,0,77.0,77.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_04:02:29.41s,1628150558.781414,TCP,avs-alexa-3-na.amazon.com
388.75,363,411,28.91074326085924,-0.06175237052480061,-1.909726186900584,0.025934416666666665,0.0034682816537196983,0.000387,1.200588016370883,1.7880395242087905,12,0,12,12,0,0,0,388.75,0.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:03:17.42s,1628161407.518732,SSDP,multicast
200.5,54,347,217.20122501107068,0.0,-2.0,0.025632,0.001313998848,0.025632,-2.0,0.0,2,1,1,2,0,0,0,54.0,347.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:09:01.42s,1628158166.025337,TCP,avs-alexa-3-na.amazon.com
647.6666666666666,54,1835,0.0,0.7071067811865478,-1.5000000000000002,0.000361,2.0369100000000002e-07,0.00021600000000000002,-1.4999999999999998,0.5293036015787341,3,1,2,3,0,0,0,54.0,1835.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_05:32:53.41s,1628155999.235641,TCP,avs-alexa-3-na.amazon.com
647.6666666666666,54,1835,0.0,0.7071067811865478,-1.5000000000000002,0.0008426666666666666,5.705903333333333e-07,0.0010689999999999999,-1.5000000000000004,-0.5010375381738634,3,1,2,3,0,0,0,54.0,1835.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_07:03:17.42s,1628161423.340104,TCP,avs-alexa-3-na.amazon.com
366.1666666666667,54,1835,34.099851025628844,1.7849256998577112,1.1929250189679355,0.023502833333333334,0.0022120944169666664,0.0048915,1.1197081314607154,1.7452149569659838,6,3,3,6,0,0,0,69.33333333333333,663.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_06:09:01.42s,1628158168.018089,TCP,avs-alexa-3-na.amazon.com
77.0,54,100,34.099851025628844,0.0,-2.0,0.00341575,3.5327064249999996e-05,0.000686,-0.692042779873066,1.124283385544242,4,2,2,4,0,0,0,77.0,77.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_05:32:53.41s,1628156008.0182178,TCP,avs-alexa-3-na.amazon.com
200.5,54,347,217.20122501107068,0.0,-2.0,0.024299,0.0011808828020000001,0.024299,-2.0,0.0,2,1,1,2,0,0,0,54.0,347.0,0.0,0.0,echoshow5,android_wan_disturb_off,2021-08-05_05:32:53.41s,1628155997.6070669,TCP,avs-alexa-3-na.amazon.com
