meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.04855428571428571,0.015417938633238095,0.000974,2.1648001669683117,2.040389102364961,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371679.706697,TCP,f2:38:23:f8:08:c0
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.021024428571428572,0.0017744481182857144,0.001044,1.6358601276088596,1.831677453715168,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371678.807793,TCP,f2:38:23:f8:08:c0
56.0,46,66,14.82602218505602,0.0,-2.0,0.02686825,0.0007175056655833331,0.021741499999999997,-0.9095119034084131,0.6306129994642866,4,2,2,4,0,0,0,46.0,66.0,0.0,0.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371690.845669,UDP,secu100.net
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.09869342857142858,0.05196473599661904,0.00358,2.046554419706605,1.9903424738247502,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371678.844126,TCP,f2:38:23:f8:08:c0
103.5,76,131,40.77156100890405,0.0,-2.0,0.010862,0.000235966088,0.010862,-2.0,0.0,2,1,1,2,0,0,0,76.0,131.0,0.0,0.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371689.89549,DNS,dns.google
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.010344142857142857,0.0006262239478095239,0.0008179999999999999,2.1593244712718924,2.037881775671027,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371680.196614,TCP,f2:38:23:f8:08:c0
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.0529872857142857,0.018299981939238093,0.001198,2.164798904620155,2.0403868330382986,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371678.838038,TCP,f2:38:23:f8:08:c0
110.0,110,110,0.0,0.0,-3.0,0.009365666666666666,7.503142433333333e-05,0.011008,-1.5000000000000002,-0.3357970571404175,3,0,3,3,0,0,0,110.0,0.0,0.0,0.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371690.987115,UDP,*.compute.amazonaws.com
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.015287,0.0012110842133333337,0.0017929999999999999,2.1191994224202437,2.020237194872944,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371679.688648,TCP,f2:38:23:f8:08:c0
58.0,54,74,0.0,1.5383892949575442,0.789256198347108,0.10786928571428571,0.07429089940890475,0.0051140000000000005,2.1638117618881267,2.0399366381991793,7,0,0,0,7,4,3,0.0,0.0,56.666666666666664,59.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371678.873394,TCP,f2:38:23:f8:08:c0
417.8211382113821,54,1098,278.72921707905317,0.5946305978536794,-1.3215611064869421,0.04108152032520326,0.0020955897457598295,0.011284,-1.7011601009197956,0.4541227717698227,123,0,0,0,123,62,61,0.0,0.0,87.70491803278688,742.6129032258065,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371687.313245,TCP,f2:38:23:f8:08:c0
156.83333333333334,54,857,0.0,2.206087422797814,3.37862375415751,0.03465291666666667,0.00151814346644697,0.012208,-1.6130983401585717,0.48503870336765,12,5,7,12,0,0,0,114.42857142857143,216.2,0.0,0.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371697.779976,TCP,pub-cfg.secu100.net
123.0,54,478,0.0,1.7997628018800063,1.2642219187571486,0.03921433333333333,0.0018446372009696974,0.007568,-1.8501180027831885,0.34402738735731797,12,5,7,12,0,0,0,110.57142857142857,140.4,0.0,0.0,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371696.9529252,TCP,pub-cfg.secu100.net
155.0,54,272,152.708028506077,-0.03930794814296253,-1.7868735999333434,0.043571285714285715,0.004175910869904762,0.013463,1.2818217811285981,1.6556679667978709,7,0,0,0,7,4,3,0.0,0.0,178.66666666666666,137.25,icsee-doorbell,android_lan_audio,2021-08-07_17:27:40.59s,1628371687.3648198,TCP,f2:38:23:f8:08:c0
