meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
57.0,54,62,1.482602218505602,0.6654688661238353,-1.5,0.052682666666666676,0.003375798150333333,0.043049000000000004,-1.4999999999999998,0.29623300152258514,3,0,0,0,3,2,1,0.0,0.0,55.0,58.0,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905619.682424,TCP,pixel3a
60.0,54,68,5.930408874022408,0.47033046033698594,-1.4999999999999998,0.0017336666666666666,2.722740333333333e-06,0.001916,-1.4999999999999998,-0.2005230705667615,3,0,0,0,3,2,1,0.0,0.0,68.0,56.0,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905634.020793,TCP,pixel3a
70.0,59,81,16.30862440356162,0.0,-2.0,0.014368,0.000412878848,0.014368,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905614.635875,UDP,pixel3a
60.75,54,74,5.930408874022408,0.6490797389484353,-1.0398494486055176,0.013103125,0.0008163608249821428,0.0019649999999999997,2.8588578619071416,2.16522475998491,8,0,0,0,8,5,3,0.0,0.0,60.0,61.2,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905603.996072,TCP,pixel3a
70.0,59,81,16.30862440356162,0.0,-2.0,0.006944499999999999,9.645216049999999e-05,0.006944499999999999,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908756.233201,UDP,pixel3a
61.0,54,68,10.378215529539213,0.0,-2.0,0.035453,0.002513830418,0.035453,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905634.023913,TCP,mhc8806us.magichue.net
57.0,54,62,1.482602218505602,0.6654688661238353,-1.5,0.05273,0.0036745579,0.03923,-1.5,0.3888441244629839,3,0,0,0,3,2,1,0.0,0.0,55.0,58.0,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908761.7622988,TCP,pixel3a
61.0,54,68,10.378215529539213,0.0,-2.0,0.035348000000000004,0.0024989622080000004,0.035348000000000004,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_08:00:03.34s,1627905604.003682,TCP,mhc8806us.magichue.net
60.75,54,74,5.930408874022408,0.6490797389484353,-1.0398494486055176,0.011433249999999999,0.0004566145542142856,0.0031075,2.6196475157875545,2.0821436224511767,8,0,0,0,8,5,3,0.0,0.0,60.0,61.2,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908745.973896,TCP,pixel3a
60.0,54,68,5.930408874022408,0.47033046033698594,-1.4999999999999998,0.021661,0.001276576063,0.0020829999999999998,-1.4999999999999998,0.7044039709848778,3,0,0,0,3,2,1,0.0,0.0,68.0,56.0,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908776.0042772,TCP,pixel3a
61.0,54,68,10.378215529539213,0.0,-2.0,0.0353705,0.0025021445404999998,0.0353705,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908745.986775,TCP,mhc8806us.magichue.net
90.0,82,98,11.860817748044816,0.0,-2.0,0.022515,0.001396521102666667,0.00607,-0.7334449204518605,1.0783716415242124,4,2,2,4,0,0,0,82.0,98.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_06:15:05.35s,1627899312.374096,DNS,neu.edu
61.0,54,68,10.378215529539213,0.0,-2.0,0.0354355,0.0025113493205,0.0354355,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_08:52:25.34s,1627908776.067016,TCP,mhc8806us.magichue.net
61.0,54,68,10.378215529539213,0.0,-2.0,0.0549155,0.0060314242805,0.0549155,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_06:15:05.35s,1627899336.9475868,TCP,mhc8806us.magichue.net
70.0,59,81,16.30862440356162,0.0,-2.0,0.0531985,0.0056601608045000005,0.0531985,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-02_06:15:05.35s,1627899317.1867092,UDP,pixel3a
