meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
100.0,54,123,0.0,-0.7071067811865476,-1.5,0.08065,0.016528928719,0.013037,-1.4999999999999998,0.6989356452221372,3,1,2,3,0,0,0,88.5,123.0,0.0,0.0,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725814.0720198,TCP,mqtt-us.meross.com
234.45454545454547,54,1487,0.0,2.5466827930057474,4.9796520951346,0.04132636363636364,0.007793393820054546,0.001242,0.7242709190063756,1.6486772915084078,11,0,0,0,11,6,5,0.0,0.0,342.2,144.66666666666666,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725807.585614,TCP,22:ef:03:1a:97:b9
54.0,54,54,0.0,0.0,-3.0,0.003987,3.1792338e-05,0.003987,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725818.2866051,TCP,mqtt-us.meross.com
325.75,54,587,343.96371469329966,-0.015991254057734612,-1.9391369433918422,0.058834,0.005968043783333332,0.0327715,-0.9044924686807576,0.890497905535958,4,2,2,4,0,0,0,296.5,355.0,0.0,0.0,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725816.585887,TCP,mqtt-us.meross.com
137.45454545454547,54,417,0.0,1.2727091976815634,-0.15740643206563432,0.008799454545454544,0.00024040360067272725,0.000269,3.283439781549906,2.075379472653305,11,0,0,0,11,6,5,0.0,0.0,128.2,145.16666666666666,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725807.470857,TCP,22:ef:03:1a:97:b9
235.16666666666666,54,587,51.14977653844327,0.6853084562917423,-1.4731519804584123,0.18335133333333334,0.08301655297546667,0.03497,0.03940172906498374,1.2710398899551307,6,3,3,6,0,0,0,215.66666666666666,254.66666666666666,0.0,0.0,meross-dooropener,android_wan_close,2021-08-11_17:20:48.29s,1628716858.287136,TCP,mqtt-us.meross.com
130.5,54,417,0.0,1.406272852813641,0.20806360357547815,0.008131916666666668,0.00022727745371969694,0.0014025,4.197741617353283,2.2755348471738124,12,0,0,0,12,6,6,0.0,0.0,115.83333333333333,145.16666666666666,meross-dooropener,android_wan_close,2021-08-11_17:20:48.29s,1628716850.134115,TCP,22:ef:03:1a:97:b9
100.0,54,123,0.0,-0.7071067811865476,-1.5,0.060548333333333336,0.008782748104333334,0.013149000000000001,-1.4999999999999998,0.6914789023072893,3,1,2,3,0,0,0,88.5,123.0,0.0,0.0,meross-dooropener,android_wan_close,2021-08-11_17:20:48.29s,1628716855.702382,TCP,mqtt-us.meross.com
142.54545454545453,54,449,0.0,1.314018861614187,-0.039216925313869666,0.012175818181818182,0.0006410299849636363,0.000778,1.7689538434285863,1.8525510293374388,11,0,0,0,11,6,5,0.0,0.0,134.6,149.16666666666666,meross-dooropener,android_wan_close,2021-08-11_19:50:05.29s,1628725821.731228,TCP,22:ef:03:1a:97:b9
234.45454545454547,54,1487,0.0,2.5466827930057474,4.9796520951346,0.020974363636363638,0.003693196410254545,0.00028199999999999997,6.0452602573575405,2.829980695592663,11,0,0,0,11,6,5,0.0,0.0,342.2,144.66666666666666,meross-dooropener,android_wan_close,2021-08-11_17:03:40.29s,1628715822.6270828,TCP,22:ef:03:1a:97:b9
