meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
57.0,54,60,4.447806655516806,0.0,-2.0,0.000162,5.2488000000000007e-08,0.000162,-2.0,0.0,2,1,1,2,0,0,0,60.0,54.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918981.9266782,TCP,data.meethue.com
203.0,54,352,220.9077305573347,0.0,-2.0,0.0029375,1.72578125e-05,0.0029375,-2.0,0.0,2,1,1,2,0,0,0,352.0,54.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918963.111455,TCP,diagnostics.meethue.com
58.0,54,60,0.0,-0.7071067811865475,-1.5,0.00046866666666666666,2.8723633333333326e-07,0.00035299999999999996,-1.5,0.37801651567068534,3,1,2,3,0,0,0,60.0,54.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918954.494658,TCP,diagnostics.meethue.com
523.0,54,992,695.3404404791273,0.0,-2.0,0.0029,1.6819999999999998e-05,0.0029,-2.0,0.0,2,1,1,2,0,0,0,992.0,54.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918964.1201012,TCP,diagnostics.meethue.com
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.003477,2.5117305499999996e-05,0.00040899999999999997,-0.8316729118862378,0.8861763663931231,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918958.6364782,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0029284000000000003,2.3914687300000006e-05,0.00047300000000000006,-0.00011103149799529533,1.3378310241662534,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918970.088275,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0027372,2.42484972e-05,0.0006,0.18039891843303257,1.4505617124583285,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918975.2994041,TCP,pixel3a
175.14285714285714,54,585,50.40847542919047,1.6169702551128027,1.1663951061747895,0.002507571428571429,1.764816161904762e-05,0.0005690000000000001,0.7813942267384832,1.5301513933696758,7,0,0,0,7,4,3,0.0,0.0,244.33333333333334,123.25,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918960.709009,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0028276000000000004,2.79585893e-05,0.0008810000000000001,0.2170830752979218,1.4752532113272085,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918976.341667,TCP,pixel3a
209.66666666666666,54,1238,8.895613311033612,2.386176980789562,3.8490469315292,0.015868999999999998,0.0021651964022499997,0.000337,4.124247599586706,2.4746082011410957,9,4,5,9,0,0,0,296.8,100.75,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918954.5519469,TCP,diagnostics.meethue.com
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0027742,2.3133744699999993e-05,0.000389,0.12139469518584267,1.4132547007277332,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918971.134888,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0031366000000000007,2.1192738300000007e-05,0.0018690000000000002,0.07703233045204039,1.3665809829311875,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918964.8706188,TCP,pixel3a
260.5,54,3063,8.895613311033612,3.8766076712966377,14.702633588547098,0.016981033333333333,0.0014036496152747128,0.000224,5.016926085598298,2.3365251226396153,30,13,17,30,0,0,0,200.64705882352942,338.7692307692308,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918980.340141,TCP,data.meethue.com
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0028178,2.56016837e-05,0.000594,0.16833006421539087,1.4425824414844082,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918965.9102979,TCP,pixel3a
57.0,54,60,4.447806655516806,0.0,-2.0,0.0157115,0.0004937024645,0.0157115,-2.0,0.0,2,1,1,2,0,0,0,60.0,54.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918953.369558,TCP,mqtt.2030.ltsapis.goog
132.5,76,189,83.76702534556651,0.0,-2.0,0.02522,0.0012720968,0.02522,-2.0,0.0,2,1,1,2,0,0,0,76.0,189.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918980.2922428,DNS,neu.edu
191.52631578947367,54,585,50.40847542919047,1.0144455462313908,-0.5087833895164584,0.056171157894736846,0.022015972921918134,0.001431,7.67523123603101,2.9144492531281427,19,0,0,0,19,11,8,0.0,0.0,265.125,138.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918962.792167,TCP,pixel3a
132.5,76,189,83.76702534556651,0.0,-2.0,0.015844,0.000502064672,0.015844,-2.0,0.0,2,1,1,2,0,0,0,76.0,189.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918980.2924259,DNS,neu.edu
509.0,54,964,674.5840094200489,0.0,-2.0,0.051589499999999996,0.005322953020499999,0.051589499999999996,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,964.0,54.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918964.121119,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.0027156,2.6124988299999997e-05,0.0006230000000000001,0.21156450443782626,1.47177625419934,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918967.995969,TCP,pixel3a
222.4,54,585,50.40847542919047,0.8120128894432259,-0.9640795408866403,0.004088199999999999,5.8322108199999994e-05,0.000488,0.20213346793553244,1.4662896379639072,5,0,0,0,5,3,2,0.0,0.0,336.5,146.33333333333334,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918961.745988,TCP,pixel3a
133.5,83,184,74.8714120345329,0.0,-2.0,0.0140635,0.00039556406449999996,0.0140635,-2.0,0.0,2,1,1,2,0,0,0,83.0,184.0,0.0,0.0,t-philips-hub,android_lan_off,2021-08-02_11:42:32.31s,1627918954.498965,DNS,neu.edu
