meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
112.0,66,135,0.0,-0.7071067811865476,-1.5,0.02618133333333333,0.0017891579253333327,0.003564,-1.5000000000000007,0.701463355465891,3,1,2,3,0,0,0,100.5,135.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086688.3658748,TCP,m2.tuyaus.com
154.0,154,154,0.0,0.0,-3.0,0.189114,0.051840611322999997,0.091762,0.29824241528779183,1.268220712150952,7,0,7,7,0,0,0,154.0,0.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.539613,UDP,*.compute.amazonaws.com
112.0,94,130,26.686839933100835,0.0,-2.0,0.023384166666666668,0.00042537847456666674,0.016549,-1.4366427197506606,0.4215081879051944,6,3,3,6,0,0,0,94.0,130.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.110302,UDP,aws4nat.tuyaus.com
154.0,154,154,0.0,0.0,-3.0,0.1954184285714286,0.04812264501761906,0.13176300000000002,0.2565393566440588,1.1846088890339797,7,0,0,0,7,0,7,0.0,0.0,154.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.341687,UDP,22:ef:03:1a:97:b9
112.0,94,130,26.686839933100835,0.0,-2.0,0.02118716666666667,0.0001795501889666667,0.019238500000000002,-0.8413162245570578,-0.3228562187600613,6,3,3,6,0,0,0,94.0,130.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.109389,UDP,aws3nat.tuyaus.com
358.85714285714283,66,2524,11.860817748044816,2.4784018959746468,5.292680926902722,0.05078814285714286,0.008047310649028574,0.010668,10.231285699493855,3.172407078053305,21,9,12,21,0,0,0,333.0,393.3333333333333,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086649.49143,TCP,a2.tuyaus.com
86.0,78,94,11.860817748044816,0.0,-2.0,0.0018045000000000001,6.5124405000000005e-06,0.0018045000000000001,-2.0,0.0,2,1,1,2,0,0,0,78.0,94.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.094712,DNS,neu.edu
66.0,66,66,0.0,0.0,-3.0,0.007337000000000001,0.00010766313800000002,0.007337000000000001,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086639.703166,TCP,m2.tuyaus.com
66.0,66,66,0.0,0.0,-3.0,0.0017855,6.3760205e-06,0.0017855,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086660.178031,TCP,m2.tuyaus.com
86.0,78,94,11.860817748044816,0.0,-2.0,0.0019165,7.3459445e-06,0.0019165,-2.0,0.0,2,1,1,2,0,0,0,78.0,94.0,0.0,0.0,tuya-camera,android_lan_recording,2021-08-04_10:17:15.56s,1628086648.093544,DNS,neu.edu
