meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
330.0,330,330,0.0,0.0,-3.0,0.0106265,0.00022584500450000003,0.0106265,-2.0,0.0,2,1,1,2,0,0,0,330.0,330.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109933.058839,UDP,172.107.228.54
79.2,66,101,0.0,0.4268159783089293,-1.792966946982281,0.1876064,0.11191446513380002,0.073975,0.19380300612114265,1.4576870728580933,5,2,3,5,0,0,0,77.66666666666667,81.5,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109938.299856,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
79.2,66,101,0.0,0.4268159783089293,-1.792966946982281,0.18748460000000003,0.11078487520130002,0.073893,0.19509530820251086,1.4586204292008882,5,2,3,5,0,0,0,77.66666666666667,81.5,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109901.950134,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
330.0,330,330,0.0,0.0,-3.0,0.007206499999999999,0.00010386728449999999,0.007206499999999999,-2.0,0.0,2,1,1,2,0,0,0,330.0,330.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109910.590842,UDP,ns507728.ip-198-27-81.net
66.0,66,66,0.0,0.0,-3.0,0.036913999999999995,0.0027252867919999994,0.036913999999999995,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109922.088254,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
66.0,66,66,0.0,0.0,-3.0,0.036906,0.002724105672,0.036906,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109915.095436,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
82.0,46,86,0.0,-2.6666666666666665,5.111111111111111,0.4348400166666665,0.020714852296253958,0.500113,2.46175402911787,-2.0452454229693675,60,54,6,60,0,0,0,46.0,86.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109899.639215,UDP,172.107.228.54
66.0,66,66,0.0,0.0,-3.0,0.0369045,0.0027238842405,0.0369045,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109945.3153148,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
66.0,66,66,0.0,0.0,-3.0,0.0370785,0.0027496303245,0.0370785,-2.0,0.0,2,1,1,2,0,0,0,66.0,66.0,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109942.2365901,TCP,m-72556905.kinesisvideo.us-west-2.amazonaws.com
286.0869565217391,54,1953,17.791226622067224,2.477768512187236,5.063306101192623,0.027756391304347827,0.0016013515985217393,0.005278,0.7958400124382448,1.3659462928966364,23,9,14,23,0,0,0,157.14285714285714,486.6666666666667,0.0,0.0,wyze-cam,android_lan_recording,2021-08-04_16:44:59.51s,1628109930.4738522,TCP,api.wyzecam.com
