meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,protocol,hosts
62.0,62,62,0.0,0.0,-3.0,2.55e-05,1.3005e-09,2.55e-05,-2.0,0.0,2,2,0,2,0,0,0,0.0,62.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035529.4088728,UDP,47.90.240.160
100.0,50,150,74.13011092528009,0.0,-2.0,0.11853050000000001,0.028098958860500005,0.11853050000000001,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035534.178314,UDP,47.74.255.9
77.0,46,150,11.860817748044816,1.0904825078468383,-0.7205509249109907,0.0246645,0.0003376722016666667,0.027086,-0.9555325470920293,-0.4458628874289352,4,2,2,4,0,0,0,98.0,56.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035530.771465,UDP,47.88.59.209
100.0,50,150,74.13011092528009,0.0,-2.0,0.035801,0.002563423202,0.035801,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035558.854191,UDP,47.88.59.209
100.0,50,150,74.13011092528009,0.0,-2.0,0.007725,0.00011935125000000001,0.007725,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035558.855064,UDP,47.90.240.160
100.0,50,150,74.13011092528009,0.0,-2.0,0.0357135,0.0025509081645,0.0357135,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035534.176224,UDP,47.88.59.209
62.0,62,62,0.0,0.0,-3.0,1.4499999999999998e-05,4.204999999999999e-10,1.4499999999999998e-05,-2.0,0.0,2,2,0,2,0,0,0,0.0,62.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035529.4645548,UDP,47.88.59.209
70.0,70,70,0.0,0.0,-3.0,0.016476750000000002,0.00012617669025,0.020776500000000003,-0.7901691794016479,-1.0107595779375087,4,0,0,0,4,0,4,0.0,0.0,70.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035529.4167879,UDP,22:ef:03:1a:97:b9
77.0,46,150,11.860817748044816,1.0904825078468383,-0.7205509249109907,0.066646,0.009031496284666667,0.0294585,-0.7167297365719971,1.078774392234045,4,2,2,4,0,0,0,98.0,56.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035530.772922,UDP,47.74.255.9
100.0,50,150,74.13011092528009,0.0,-2.0,0.118521,0.028094454882000002,0.118521,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-03_20:05:27.50s,1628035558.881911,UDP,47.74.255.9
